Fixture	Typ	Mode	DMX	Line	Plugbox	Position	Funktion	Color	Bem Kordm	X Kordm	Y Kordm	Winkel
51	Chauvet Strike Array 2		23/389	LK Z/4	FLA/1	Floor				"4,73m"	"-7,74m"	90°
52	Chauvet Strike Array 2		23/392	LK Z/4	FLA/2	Floor				"6,60m"	"-7,53m"	60°
53	Chauvet Strike Array 2		23/395	LK Z/4	FLA/3	Floor				"8,01m"	"-6,44m"	30°
54	Chauvet Strike Array 2		23/398	LK Z/4	FLA/4	Floor				"8,72m"	"-4,71m"	5°
55	Chauvet Strike Array 2		23/401	LK Z/4	FLA/5	Floor				"9,19m"	"-2,14m"	0°
56	Chauvet Strike Array 2		24/375	LK Z/8	FLC/1	Floor				"9,61m"	"0,41m"	0°
57	Chauvet Strike Array 2		24/378	LK Z/8	FLC/1	Floor				"9,61m"	"1,83m"	0°
58	Chauvet Strike Array 2		24/381	LK Z/8	FLC/2	Floor				"9,91m"	"6,58m"	-11°
59	Chauvet Strike Array 2		24/384	LK Z/8	FLC/2	Floor				"9,20m"	"8,20m"	-49°
60	Chauvet Strike Array 2		24/387	LK Z/8	FLC/3	Floor				"7,53m"	"-0,12m"	0°
61	Chauvet Strike Array 2		24/390	LK Z/8	FLC/3	Floor				"7,61m"	"2,10m"	0°
62	Chauvet Strike Array 2		24/393	LK Z/8	FLC/4	Floor				"6,98m"	"5,08m"	-27°
63	Chauvet Strike Array 2		24/396	LK Z/8	FLC/4	Floor				"6,07m"	"7,05m"	-27°
64	Chauvet Strike Array 2		24/399	LK Z/8	FLC/5	Floor				"4,54m"	"-0,02m"	0°
65	Chauvet Strike Array 2		24/402	LK Z/8	FLC/5	Floor				"4,51m"	"1,78m"	0°
66	Chauvet Strike Array 2		24/405	LK Z/8	FLC/6	Floor				"4,39m"	"3,48m"	-18°
67	Chauvet Strike Array 2		24/408	LK Z/8	FLC/6	Floor				"3,82m"	"4,90m"	-28°
68	Chauvet Strike Array 2		24/411	LK Z/8	FLC/6	Floor				"3,25m"	"6,16m"	-28°
351	Chauvet Color Strike M		22/1	LK Z/1	FLB/2	Floor				"10,63m"	"-7,50m"	0°
352	Chauvet Color Strike M		22/98	LK Z/1	FLB/2	Floor				"10,63m"	"-5,63m"	0°
353	Chauvet Color Strike M		22/195	LK Z/1	FLB/3	Floor				"10,63m"	"-3,75m"	0°
354	Chauvet Color Strike M		22/292	LK Z/1	FLB/3	Floor				"10,63m"	"-1,88m"	0°
355	Chauvet Color Strike M		22/389	LK Z/1	FLB/4	Floor				"10,63m"	"-0,00m"	0°
